normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
We must have to wake up before the sun rises in order to complete our journey at time .,We must have to wake up before the crack of dawn in order to complete our journey at time .,sun rises,crack of dawn,"[(8, 10)]","[(8, 11)]",1
"I want to thank you all for coming to my dinner party , and I 'd like to wish you all a good meal !","I want to thank you all for coming to my dinner party , and I 'd like to wish you all bon appetit !",a good meal,bon appetit,"[(21, 24)]","[(21, 23)]",1
You need not know all the rules to understand that this kind of turbulent weather makes anyone on board feel ill .,You need not know all the rules to understand that this kind of turbulent weather makes anyone on board go green around the gills .,feel ill,green around the gills,"[(19, 21)]","[(19, 22), (23, 24)]",2
My sister grabbed most of the pizza .,My sister grabbed the lion 's share of the pizza .,most,lion's share,"[(3, 4)]","[(4, 7)]",1
"I was certain Nina would fail at her task and said so boldly and When she successfully completed her task , I knew I had made an incorrect assumption .","I was certain Nina would fail at her task and said so boldly and When she successfully completed her task , I knew I had spoken too soon .",made an incorrect assumption,speak too soon,"[(25, 29)]","[(25, 28)]",1
The man is not sure if he has it in him to appreciate the lively debate of such a huge organisational business .,The man is not sure if he has it in him to appreciate the cut and thrust of such a huge organisational business .,lively debate,cut and thrust,"[(14, 16)]","[(14, 17)]",1
"You need n't have all your money at risk in the share market , it is better to diversify .","You need n't have all your money at stake in the share market , it is better to diversify .",risk,at stake,"[(8, 9)]","[(8, 9)]",1
"You should keep out and if it is working out fine , leave it alone .","You should keep out and if it ai n't broke , do n't fix it .",is working | fine | leave | alone,"if it ain't broke, don't fix it","[(7, 9), (10, 11), (12, 13), (14, 15)]","[(7, 10), (11, 14)]",4
`` It is so amazing that you completed it because we heard that it was a very difficult task . '',`` It is so amazing that you made it because we heard that it was a very difficult task . '',completed,made it,"[(7, 8)]","[(7, 8)]",1
He 's dedicated to the project completely .,He 's dedicated to the project heart and soul .,completely,heart and soul,"[(6, 7)]","[(6, 9)]",1
He keeps talking to himself and I think he 's crazy .,He keeps talking to himself and I think he 's not playing with a full deck .,crazy,not playing with a full deck,"[(10, 11)]","[(10, 16)]",1
"They all worked together on the project , but while submitting it , one of them stole the credit .","They all worked together on the project , but while submitting it , one of them stole the thunder .",credit,steal thunder,"[(18, 19)]","[(18, 19)]",1
"I had an instinctive feeling that he had been lying , and sure enough , it was later proved that he had been .","I had a gut feeling that he had been lying , and sure enough , it was later proved that he had been .",an instinctive,gut feeling,"[(2, 4)]","[(2, 4)]",1
It is against our wishes to accept that she is going to change her bad behavior with others .,It goes against the grain to accept that she is going to change her bad behavior with others .,our wishes,against the grain,"[(3, 5)]","[(1, 2), (3, 5)]",2
"I guess , she will never forgive you .","I guess , she will forgive you when hell freezes over .",never,when hell freezes over,"[(5, 6)]","[(7, 11)]",1
The wine and dinner at this hotel is among the best that you will ever find .,The wine and dine at this hotel is among the best that you will ever find .,dinner,wine and dine,"[(3, 4)]","[(3, 4)]",1
The two international rivals shook hands and agreed to forget past differences and conflicts .,The two international rivals shook hands and agreed to let bygones be bygones .,forget past differences | conflicts,let bygones be bygones,"[(9, 12), (13, 14)]","[(9, 13)]",2
You need to stop playing down the severity of this situation,You need to stop making light of this situation,playing down the severity,make light of,"[(4, 8)]","[(4, 6)]",1
"Even with her boss looking very untidy , Mel still complimented her and this showed her to be a flatterer .","Even with her boss looking very untidy , Mel still complimented her and this showed her to be an apple polisher .",a flatterer,apple polisher,"[(18, 20)]","[(18, 21)]",1
His wife was so happy when he sent her flowers and gifts at work for no reason .,His wife was tickled pink when he sent her flowers and gifts at work for no reason .,so happy,tickled pink,"[(3, 5)]","[(3, 5)]",1
To make him into a good citizen of the country is quite a challenging task since he is full of hatred from within .,To make him into a good citizen of the country is quite a challenging task since he is full of hatred to the core .,from within,to the core,"[(21, 23)]","[(21, 22), (23, 24)]",2
The managing director of the company did n't have to be asked to resign - he went voluntarily .,The managing director of the company did n't have to be asked to resign - he went of his own accord .,voluntarily,own accord,"[(17, 18)]","[(18, 21)]",1
My sister looks just like my mother .,My sister is the spitting image of my mother .,looks just like,spitting image,"[(2, 5)]","[(2, 7)]",1
The children had a great time when they were taken on a trip to the museum .,The children had a field day when they were taken on a trip to the museum .,great time,field day,"[(4, 6)]","[(4, 6)]",1
The documentary was correct on the subject of female foeticide .,The documentary was bang on the subject of female foeticide .,correct,bang on,"[(3, 4)]","[(3, 4)]",1
I have been a bit worried since I found out that they are selling our company .,I have been a bit on edge since I found out that they are selling our company,worried | .,on edge,"[(5, 6), (16, 17)]","[(5, 7)]",2
"She is very levelheaded person , not at all attracted by the glamour world .","She is very down to earth person , not at all attracted by the glamour world .",levelheaded,down to earth,"[(3, 4)]","[(3, 6)]",1
A front-to-front collision of two cars in Glasgow has left two people seriously injured .,A head-on collision of two cars in Glasgow has left two people seriously injured .,front-to-front,head-on,"[(1, 2)]","[(1, 2)]",1
In order to earn their bread so many people now have to be awake for work at all hours of the night .,In order to earn their bread so many people now have to turn into night owls .,be awake for work at all hours of the,night owl,"[(12, 21)]","[(12, 14), (15, 16)]",2
You really think you can render the champ unconscious ?,You really think you can knock out the champ ?,render | unconscious,knock out,"[(5, 6), (8, 9)]","[(5, 7)]",2
I completed the project very quickly .,I completed the project in no time .,very quickly,in no time,"[(4, 6)]","[(4, 7)]",1
Has he decided which offer he is going to accept or is he still deciding ?,Has he decided which offer he is going to accept or is he still sitting on the fence ?,deciding,sit on the fence,"[(14, 15)]","[(14, 18)]",1
Reservation system was developed to help the needy and Now it has become privilege for the society therefore even the upper class is demanding reservation these days .,Reservation system was developed to help the needy and Now it has become privilege for the society therefore even the upper crust are demanding reservation these days .,class is,upper crust,"[(21, 23)]","[(21, 23)]",1
The argument was quite wonderful in his opinion but I do n't think so .,The argument was quite wonderful in his opinion but I beg to differ .,do n't think so,beg to differ,"[(10, 14)]","[(10, 13)]",1
"Boss fired me from the job and I lost my wallet too , what a double setback ?","Boss fired me from the job and I lost my wallet too , what a double whammy ?",setback,double whammy,"[(16, 17)]","[(16, 17)]",1
The restaurant on this weekend will be super busy .,The restaurant on this weekend will be a hive of activities .,super busy,hive of activity,"[(7, 9)]","[(7, 11)]",1
The meal was absolutely delicious but now my pants are so tight .,The meal was absolutely delicious but now I am bursting at the seams .,my pants are so tight,burst at the seams,"[(7, 12)]","[(7, 13)]",1
The new actress in that movie is rumoured to be a child born out of wedlock of one of the most famous actors of the previous generation .,The new actress in that movie is rumoured to be the love child of one of the most famous actors of the previous generation .,a | born out | wedlock,love child,"[(10, 11), (12, 14), (15, 16)]","[(11, 12)]",3
"I hate this flower vase so much , some day I might drop it on purpose and make it seem like an accident .","I hate this flower vase so much , some day I might drop it accidentally on purpose .",and make | seem like an accident,accidentally on purpose,"[(16, 18), (19, 23)]","[(14, 15)]",2
You ought to use your head and understand that you may be hurting someone 's sentiments .,You ought to use your loaf and understand that you may be hurting someone 's sentiments .,head,use your loaf,"[(5, 6)]","[(5, 6)]",1
"The Joshi 's have all fallen ill with the flu , so none of them will be able to attend your wedding .","The Joshi 's have all come down with the flu , so none of them will be able to attend your wedding .",fallen ill,come down with,"[(5, 7)]","[(5, 7)]",1
John and Sally are frequently seen together nowadays and Are they in a romantic relationship ?,John and Sally are frequently seen together nowadays and Are they an item ?,in a romantic relationship,an item,"[(11, 15)]","[(11, 13)]",1
The general remained calm during the meeting this time .,The general kept his hair on during the meeting this time .,remained calm,keep your hair on,"[(2, 4)]","[(2, 6)]",1
The model created a sensation when she posed for a magazine cover in the nude .,The model created a sensation when she posed for a magazine cover in the buff .,nude,in the buff,"[(14, 15)]","[(14, 15)]",1
The home team got the advantage when their opponents ' star quarterback went out with an injury ..,The home team got the upper hand when their opponents ' star quarterback went out with an injury ..,advantage,upper hand,"[(5, 6)]","[(5, 7)]",1
"They have usually been very supportive of each other , but right now , their marriage is going through some rough times .","They have usually been very supportive of each other , but right now , their marriage is going through a bit of a rough patch .",some | times,go through a rough patch,"[(19, 20), (21, 22)]","[(19, 21), (22, 23), (24, 25)]",3
I always knew that someday my life would flip and I would become successful .,I always knew that someday my life would flip and I would make it big .,become successful,make it big,"[(12, 14)]","[(12, 15)]",1
A person who jokes a lot makes fun of people but should be sporting enough to be able to laugh at himself .,A class clown makes fun of people but should be sporting enough to be able to laugh at himself .,person who jokes a lot,class clown,"[(1, 6)]","[(1, 3)]",1
Will you please stop avoiding the important stuff and get to the point ?,Will you please stop beating about the bush and get to the point ?,avoiding | important stuff,beat around the bush,"[(4, 5), (6, 8)]","[(4, 6), (7, 8)]",2
The new law is just an irrelevant distraction meant to draw our attention away from the issues regarding education .,The new law is just a red herring meant to draw our attention away from the issues regarding education .,an irrelevant distraction,red herring,"[(5, 8)]","[(5, 8)]",1
It would be better if you applied to several companies instead of just one ; do n't put all money on one bet .,It would be better if you applied to several companies instead of just one ; do n't put all your eggs in one basket .,money on | bet,don't put all your eggs in one basket,"[(19, 21), (22, 23)]","[(19, 22), (23, 24)]",2
"Once I realized that John was going to be at the party , I quickly left .","Once I realized that John was going to be at the party , I beat a hasty retreat .",quickly left,beat a hasty retreat,"[(14, 16)]","[(14, 18)]",1
Stop being so mean-spirited and let your sister ride your bike if you 're not using it .,Stop being such a dog in the manger and let your sister ride your bike if you 're not using it .,so mean-spirited,dog in the manger,"[(2, 4)]","[(2, 8)]",1
"I know that the paper only has to be in next week , but I would like to get a promising beginning .","I know that the paper only has to be in next week , but I would like to get a head start .",promising beginning,head start,"[(20, 22)]","[(20, 22)]",1
He knows he is well known in the financial industry and that is why he talks with so much attitude .,He knows he is a big cheese in the financial industry and that is why he talks with so much attitude .,well known,big cheese,"[(4, 6)]","[(4, 7)]",1
"When the time comes , I 'll avoid showing fear and take my punishment without a fuss .","When the time comes , I 'll bite the bullet and take my punishment without a fuss .",avoid showing fear,bite the bullet,"[(7, 10)]","[(7, 8), (9, 10)]",2
"This is the best macaroni and cheese in the world , forget the town .","This is the best macaroni and cheese in the world , never mind the town .",forget,never mind,"[(11, 12)]","[(11, 13)]",1
"Though they work as a team , they often do n't agree on most issues .","Though they work as a team , they often do n't see eye to eye on most issues .",agree,see eye to eye,"[(11, 12)]","[(11, 15)]",1
The book is super interesting and now I can not take a break until I complete reading it .,The book is a page-turner and now I can not take a break until I complete reading it .,super interesting,page-turner,"[(3, 5)]","[(4, 5)]",1
The children can be causing a ruckus cooped up in that attic together for two hours .,The children can be up to no good cooped up in that attic together for two hours .,causing a ruckus,up to no good,"[(4, 7)]","[(5, 8)]",1
"After the scuffle , the man who was affronted left , feeling offended .","After the scuffle , the man who was affronted left in high dudgeon .",feeling offended,in high dudgeon,"[(11, 13)]","[(10, 13)]",1
The child 's mother passed out on seeing him at the hospital .,The child 's mother blacked out on seeing him at the hospital .,passed,black out,"[(4, 5)]","[(4, 5)]",1
All the artists in their initial phase of career were short on money .,All the artists in their initial phase of career were on their uppers .,short | money,on one's uppers,"[(10, 11), (12, 13)]","[(12, 13)]",2
Her husband assured her that the police will uncover the details of the burglary .,Her husband assured her that the police will get to the bottom of the burglary .,uncover | details,get to the bottom,"[(8, 9), (10, 11)]","[(8, 10), (11, 12)]",2
He is a very ethical man with high morals ; he would never be caught doing anything illegal or unlawful .,He is a very ethical man with high morals ; he would n't be caught dead doing anything illegal or unlawful .,never,wouldn't be caught dead,"[(12, 13)]","[(12, 13), (15, 16)]",2
The new restaurant in town is very average .,The new restaurant in town is so-so .,very average,so-so,"[(6, 8)]","[(6, 7)]",1
A cut in interest rates on housing loans can lift the property market out of its low .,A cut in interest rates on housing loans can lift the property market out of the doldrums .,its low,doldrums,"[(15, 17)]","[(16, 17)]",1
Max : I challenge you to join me in my 100km run this month and Samuel : I accept the challenge !,Max : I challenge you to join me in my 100km run this month and Samuel : You 're on !,accept the,you're on,"[(18, 20)]","[(17, 20)]",1
"Are n't you tired of having fooled around the whole day , leaving your preparation for test tomorrow .","Are n't you tired of having done monkey business whole day , leaving your preparation for test tomorrow .",fooled around the,monkey business,"[(6, 9)]","[(6, 9)]",1
After a long illness he is finally improving .,After a long illness he is finally on the mend .,improving,on the mend,"[(7, 8)]","[(7, 10)]",1
"Throughout the funeral of her parents , Mary did n't show her true emotion .","Throughout the funeral of her parents , Mary kept a stiff upper lip .",did n't show | true emotion,stiff upper lip,"[(8, 11), (12, 14)]","[(8, 13)]",2
The police were on the criminal 's trail but in the end he managed to escape .,The police were on the criminal 's trail but in the end he managed to give them the slip .,escape,give the slip,"[(15, 16)]","[(15, 17), (18, 19)]",2
I did n't think we would survive the last week of exams,I did n't think we would get through the last week of exams,survive,get through,"[(6, 7)]","[(6, 8)]",1
Their son is irresponsible about their health .,Their son does not give a damn about their health .,is irresponsible,not give a damn,"[(2, 4)]","[(2, 7)]",1
We have been worried since we got the news that she had been stranded in the hills amidst a landslide .,We have been on pins and needles since we got the news that she had been stranded in the hills amidst a landslide .,worried,on pins and needles,"[(3, 4)]","[(3, 7)]",1
We are n't as wealthy as the Jones ' to eat like the wealthy .,We are n't as wealthy as the Jones ' to eat so high on the hog .,like,high on the hog,"[(11, 12)]","[(11, 14), (15, 16)]",2
"When Sara told Sam that there is a ghost living next to their room , he changed the room extremely quickly .","When Sara told Sam that there is a ghost living next to their room , he changed the room like a bat out of hell .",extremely quickly,like a bat out of hell,"[(19, 21)]","[(19, 20), (21, 25)]",2
It is hard to digest that my brother 's wife sold the necklace that belonged to my mother .,It is hard to digest that my brother 's wife cashed in the necklace that belonged to my mother .,sold,cash in,"[(10, 11)]","[(10, 12)]",1
The cake was ordered as a precaution if the desert that she made did not turn up well .,The cake was ordered just in case the desert that she made did not turn up well .,as a precaution if,just in case,"[(4, 8)]","[(4, 7)]",1
"I did not want to attend the concert , but he pressured me into going .","I did not want to attend the concert , but he twisted my arm into it .",pressured me | going,twist arm,"[(11, 13), (14, 15)]","[(11, 14), (15, 16)]",2
"Just relax and wait patiently , we 'll get the problem sorted for you .","Just relax and sit tight , we 'll get the problem sorted for you .",wait patiently,sit tight,"[(3, 5)]","[(3, 5)]",1
"He expects everyone to do the work on his behalf , once he was betrayed he will be cautious in the future .","He expects everyone to do the work on his behalf , once bitten twice shy .",he was betrayed he will be cautious in | future,"once bitten, twice shy","[(12, 20), (21, 22)]","[(12, 15)]",2
The flowers are all absolutely dead .,The flowers are all dead as a doornail .,absolutely,dead as a doornail,"[(4, 5)]","[(5, 8)]",1
The doctors decided to stop the treatments on Uncle Bill when he stopped responding to all the treatment courses that they took .,The doctors decided to pull the plug on Uncle Bill when he stopped responding to all the treatment courses that they took .,stop | treatments,pull the plug,"[(4, 5), (6, 7)]","[(4, 5), (6, 7)]",2
When the alarm went off we had to run very fast - to escape or we would be caught .,When the alarm went off we had to leg it or we would be caught .,run very fast - | escape,leg it,"[(8, 12), (13, 14)]","[(8, 10)]",2
There are a lot of things that need to be completed for our project and I would suggest that we start with something that is easy to take advantage of .,There are a lot of things that need to be completed for our project and I would suggest that we start with the low hanging fruit .,something | is easy | take advantage,low hanging fruit,"[(22, 23), (24, 26), (27, 29)]","[(22, 26)]",3
The latest movie I watched was a humorous look at the way the media tends to over-hype certain pieces of news .,The latest movie I watched was a tongue in cheek look at the way the media tends to over-hype certain pieces of news .,humorous,tongue in cheek,"[(7, 8)]","[(7, 10)]",1
The messy history she had came about when he asked her about her past .,The can of worms was wide open when he asked her about her past .,messy history she had came,can of worms,"[(1, 6)]","[(1, 7)]",1
You can not believe everything he says since most of them are just not plausible .,You can not believe everything he says since most of them are just tall stories .,plausible,tall story,"[(14, 15)]","[(13, 15)]",1
"For her , I 'll go all of the way .","For her , I 'll go the whole nine yards .",all of | way,whole nine yards,"[(6, 8), (9, 10)]","[(7, 10)]",2
It was a splendid party and I 'm glad that I do n't have to pay that particular bill .,It was a splendid party and I 'm glad that I do n't have to foot that particular bill .,pay,foot the bill,"[(15, 16)]","[(15, 16)]",1
Her dream of wanting to move to London to become a famous singer is a fantasy if you ask me .,Her dream of wanting to move to London to become a famous singer is a pie in the sky if you ask me .,fantasy,pie in the sky,"[(15, 16)]","[(15, 19)]",1
The workers had to take a pay cut instead of the company shutting down because of the heavy competition that they face .,The workers had to take the bitter medicine of a pay cut instead of the company shutting down because of the heavy competition that they face .,,bitter medicine,[],"[(6, 8)]",1
"After his first accident , Sam is quite careful in driving now because people try to avoid repeating bad experiences .","After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .",people try to avoid repeating bad experiences,a burnt child dreads the fire,"[(13, 20)]","[(13, 19)]",1
"I have such a lousy eyesight that at the time of diagnosis , I was called partially blind by the ophthalmologist .","I have such a lousy eyesight that at the time of diagnosis , I was called as a blind as a bat by the ophthalmologist .",partially,blind as a bat,"[(16, 17)]","[(16, 17), (19, 20), (21, 22)]",3
He feels he is independent now so wants to move out of his parent 's house .,He feels he can paddle his own canoe now so wants to move out of his parent 's house .,is independent,paddle own canoe,"[(3, 5)]","[(3, 5), (6, 8)]",2
The movie they played on cable last night gave me a fright and I will not be watching a night time movie any time soon .,The movie they played on cable last night gave me a chill to the bone and I will not be watching a night time movie any time soon .,fright,chill to the bone,"[(11, 12)]","[(11, 15)]",1
Kids like to have their grandparents tell a tale for them .,Kids like to have their grandparents spin a yarn for them .,tell | tale,spin a yarn,"[(6, 7), (8, 9)]","[(6, 7), (8, 9)]",2
This narrow passage ends at the park .,This narrow passage dead-ends at the park .,ends,dead end,"[(3, 4)]","[(3, 4)]",1
There is nothing like enough practice and eventually it is the amount of practice that you put in that will get you better at it .,There is nothing like enough practice and eventually it is the practice that will make you perfect .,amount of | put in | get | better at,practice makes perfect,"[(11, 13), (16, 18), (20, 21), (22, 24)]","[(14, 15), (16, 17)]",4
I would like to cross out some more items on my list before going home,I would like to tick off some more items on my list before going home,cross out,tick off,"[(4, 6)]","[(4, 6)]",1
"The way he dressed for the event , he must be completely crazy .","The way he dressed for the event , he must be as mad as a hatter .",completely crazy,as mad as a hatter,"[(11, 13)]","[(11, 16)]",1
The maid service in this area are no longer available at small amounts of money .,The maid service in this area are no longer available at pin money .,small amounts of,pin money,"[(11, 14)]","[(11, 12)]",1
The custom 's officer recognised the man from a wanted poster and gave up his identity right out .,The custom 's officer recognised the man from a wanted poster and blew his cover right out .,gave up | identity,blow cover,"[(12, 14), (15, 16)]","[(12, 13), (14, 15)]",2
The opposition party was eager in the parliament yesterday to ensure that the changes proposed by the government are not passed as legislation .,The opposition party was in full cry in the parliament yesterday to ensure that the changes proposed by the government are not passed as legislation .,eager,full cry,"[(4, 5)]","[(5, 7)]",1
"Since Farrokh was made redundant , we 've really been under financial hardship and we ca n't even afford to buy the kids new shoes .","Since Farrokh was made redundant , we 've really felt the pinch and we ca n't even afford to buy the kids new shoes .",been under financial hardship,feel the pinch,"[(9, 13)]","[(9, 10), (11, 12)]",2
The new manager is irritating me .,The new manager is getting under my skin .,irritating me,get under skin,"[(4, 6)]","[(4, 8)]",1
"We had gone for lunch with our boss and his wife , but it was pretty awkward with a couple showing lot of love or affection a couple of tables away from us .","We had gone for lunch with our boss and his wife , but it was pretty awkward with a couple getting lovey-dovey a couple of tables away from us .",showing lot | love or affection,lovey-dovey,"[(20, 22), (23, 26)]","[(20, 22)]",2
The caretaker made a poor decision when taking the baby out of the house even though he was already sick .,The caretaker threw caution to the winds when taking the baby out of the house even though he was already sick .,made a poor decision,throw caution to the winds,"[(2, 6)]","[(2, 5), (6, 7)]",2
"We went to see that new action film on Thursday night and it was the opposite of good , in fact , I fell asleep .","We went to see that new action film on Thursday night and it was anything but good , in fact , I fell asleep .",the opposite of,anything but,"[(14, 17)]","[(14, 16)]",1
I am searching through my purse to find the keys .,I am combing through my purse to find the keys .,searching,comb through,"[(2, 3)]","[(2, 3)]",1
The man has seen many troubled times and is determined to give better times to his children .,The man has seen many troubled times and is determined to give the better of days to his children .,,the better of,[],"[(12, 13), (14, 16)]",2
They had fewer people come to their party than they anticipated,They had fewer people turn out for their party than they anticipated,come to,turn out,"[(4, 6)]","[(4, 7)]",1
Judy was elated when Tim proposed to her .,Judy was over the moon when Tim proposed to her .,elated,over the moon,"[(2, 3)]","[(2, 5)]",1
I am know that living in Canada is going to be very easy .,I am under no illusion that living in Canada is going to be very easy .,know,under no illusions,"[(2, 3)]","[(2, 5)]",1
"I will not be going to the party and incidentally , I do not like him too much .","I will not be going to the party and By the way , I do not like him too much .",incidentally,by the way,"[(9, 10)]","[(9, 10), (11, 12)]",2
This movie is a total evoker of sadness for anyone who has lost a parent .,This movie is a total tear-jerking for anyone who has lost a parent .,evoker of sadness,tear-jerking,"[(5, 8)]","[(5, 6)]",1
Everyone was shocked when he left his wife of fourteen years and their two beautiful children aged ten and seven so suddenly .,Everyone was shocked when he walked out on his wife of fourteen years and their two beautiful children aged ten and seven .,left | so suddenly,walk out on,"[(5, 6), (20, 22)]","[(5, 8)]",2
We managed to complete the project on time just barely .,We managed to complete the project on time by the skin of our teeth .,just barely,by the skin of your teeth,"[(8, 10)]","[(8, 9), (10, 14)]",2
We got our water balloons fully filled and threw precisely at their heads .,We got our water balloons fully filled and threw smack dab at their heads .,precisely,smack dab,"[(9, 10)]","[(9, 11)]",1
"With the way he barked orders at the workers , everyone got the impression that he is a high-ranking person in the company .","With the way he barked orders at the workers , everyone got the impression that he is high up in the company .",a high-ranking person,high up,"[(17, 20)]","[(17, 19)]",1
"I enjoy outdoor sports like swimming , surfing , hiking and others .","I enjoy outdoor sports like swimming , surfing , hiking and so on .",others,and so on,"[(11, 12)]","[(11, 13)]",1
Winning a scholarship is not a major concern for him .,Winning a scholarship is no big deal for him .,not | major concern,big deal,"[(4, 5), (6, 8)]","[(4, 7)]",2
The team has thought of cost saving ideas soon otherwise the budget cut will cost them a lot .,The team has to come up with cost saving ideas soon otherwise the budget cut will cost them a lot .,thought of,come up with,"[(3, 5)]","[(3, 7)]",1
The accountant ceased business and that was the end of your 40 year old favourite sweet shop .,The accountant closed the books and that was the end of your 40 year old favourite sweet shop .,ceased business,close the books,"[(2, 4)]","[(2, 3), (4, 5)]",2
"The construction workers have a tough time out there , working continuously in the sweltering heat and It 's really bad luck , tough luck for them .","The construction workers have a tough time out there , working continuously in the sweltering heat and It 's really hard cheese for them .",bad luck | luck,hard cheese,"[(20, 22), (24, 25)]","[(20, 22)]",2
It is the exact same thing .,"It is six of one , half dozen of the other .",exact same thing,"six of one, half a dozen of the other","[(3, 6)]","[(2, 9), (10, 11)]",2
How do you expect all four of us to stay in that room ? It is so cramped .,How do you expect all four of us to stay in that room ? There 's no room to swing a cat in there .,It is so cramped,no room to swing a cat,"[(14, 18)]","[(14, 17), (19, 22), (23, 24)]",3
The presidential candidate 's provocative speech in these violent times is only going to make things more tense .,The presidential candidate 's provocative speech in these violent times is only going to add fuel to the flames .,make things more tense,add fuel to the flames,"[(14, 18)]","[(14, 16), (17, 19)]",2
The person who claims he is fit for the role of such an important office should at least be decent with his communication on social networks .,The person who claims he fills the bill for the role of such an important office should at least be decent with his communication on social networks .,is fit,fill the bill,"[(5, 7)]","[(5, 6), (7, 8)]",2
I have been elated since I found out that I have been awarded a scholarship to study music .,I have been walking on air since I found out that I have been awarded a scholarship to study music .,elated,walking on air,"[(3, 4)]","[(3, 6)]",1
Why would n't the team be super confident !,Why would n't the team be riding high !,super confident,ride high,"[(6, 8)]","[(6, 8)]",1
I ca n't believe that you are upset because I was late and that is so hypocritical .,I ca n't believe that you are upset because I was late and that is the pot calling the kettle black .,so hypocritical,pot calling the kettle black,"[(15, 17)]","[(15, 21)]",1
He hesitated when heard the news of his transfer to remote area of the country which is hundreds of miles from his home town .,He got cold feet when heard the news of his transfer to remote area of the country which is hundreds of miles from his home town .,hesitated,cold feet,"[(1, 2)]","[(1, 4)]",1
"With corruption and malpractices everywhere , the political leadership seem to be in extremely bad state and becoming worse .","With corruption and malpractices everywhere , the political leadership seem to be going to hell in a handbasket .",extremely bad state | becoming worse,go to hell in a handbasket,"[(13, 16), (17, 19)]","[(12, 13), (14, 15), (16, 18)]",3
"I do n't need a new friend , I am good to be single .","I need a new friend is like a hole in the head , I am good to be single .",do n't,like a hole in the head,"[(1, 3)]","[(5, 7), (8, 12)]",2
The family is better than before without this guy who respects nobody and thinks that he is the centre of the universe at all times .,The family is better off without this guy who respects nobody and thinks that he is the centre of the universe at all times .,than before,better off,"[(4, 6)]","[(4, 5)]",1
Coming to abrupt stops like that is really going to erode your breaks .,Coming to abrupt stops like that is really going to wear out your breaks .,erode,wear out,"[(10, 11)]","[(10, 12)]",1
"The alleged tax-defaulter was ready for all their questions , and fully prepared with proof of his innocence .","The alleged tax-defaulter was ready for all their questions , and armed to the teeth with proof of his innocence .",fully prepared,armed to the teeth,"[(11, 13)]","[(11, 15)]",1
"I have never eaten sushi , but I will try it .","I have never eaten sushi , but I will give it a shot .",try,give a shot,"[(9, 10)]","[(9, 10), (11, 13)]",2
"Upon hearing the good news , Mary was definitely full of energy .","Upon hearing the good news , Mary was definitely full of beans .",energy,full of beans,"[(11, 12)]","[(11, 12)]",1
I found a quaint new craft store randomly the other day .,I found a quaint new craft store by chance the other day .,randomly,by chance,"[(7, 8)]","[(7, 9)]",1
"I can not stand my relatives not knowing my situation , but telling me what to do .",I can not stand my relatives being backseat driver to me .,"knowing | situation , but telling | what | do",backseat driver,"[(7, 8), (9, 13), (14, 15), (16, 17)]","[(6, 9)]",4
Kate and Jack have been dating each other for the past few years now .,Kate and Jack have been going steady with each other for the past few years now .,dating,go steady,"[(5, 6)]","[(5, 8)]",1
"Simran is looking for a loyal friend , not an unreliable friend .","Simran is looking for a loyal friend , not a fair-weather friend .",an unreliable,fair-weather friend,"[(9, 11)]","[(10, 11)]",1
"Every morning , he dusted , cleaned and wound up the old grandfather clock that he had inherited as a family heirloom and It was truly done because he enjoyed doing it .","Every morning , he dusted , cleaned and wound up the old grandfather clock that he had inherited as a family heirloom and It was truly a labour of love .",done because | enjoyed doing it,labour of love,"[(26, 28), (29, 32)]","[(27, 30)]",2
"The sun is up , wake up with a smile !","The sun is up , rise and shine !",wake | with a smile,rise and shine,"[(5, 6), (7, 10)]","[(5, 8)]",2
The accused was saved from the troublesome event otherwise the judge would have pronounced the sentence today itself .,The accused was saved by the bell otherwise the judge would have pronounced the sentence today itself .,from | troublesome event,saved by the bell,"[(4, 5), (6, 8)]","[(4, 5), (6, 7)]",2
Leo has decided to chase his dreams with all that he has .,Leo has decided to go after his dreams with all that he has .,chase,go after,"[(4, 5)]","[(4, 6)]",1
The park provides free food for orphans throughout the year as a service to the God and humanity .,The park provides free food for orphans year-round as a service to the God and humanity .,throughout | year,year-round,"[(7, 8), (9, 10)]","[(7, 8)]",2
"The report showed up all the flaws in the project , and that was what I did n't want !","The report showed up all the flaws in the project , and that was the last thing I wanted !",what | did n't want,the last thing I want,"[(14, 15), (16, 19)]","[(15, 17), (18, 19)]",2
The search for the missing children will continue when the sun rises .,The search for the missing children will continue at first light .,when | sun rises,first light,"[(8, 9), (10, 12)]","[(8, 11)]",2
The prime minister probably realizes that because he is so powerful his downfall will be greater .,The prime minister probably realizes that the bigger they are the harder they fall .,because he is so powerful his downfall will be greater,the bigger they are the harder they fall,"[(6, 16)]","[(6, 14)]",1
The man has a great instinct and manages his business just on his intuition .,The man has a great sixth sense and manages his business just on his intuition .,instinct,sixth sense,"[(5, 6)]","[(5, 7)]",1
"Since it was his first offence , and a minor one at that , he was let off from blame with just a warning .","Since it was his first offence , and a minor one at that , he was let off the hook with just a warning .",from blame,off the hook,"[(18, 20)]","[(18, 20)]",1
I had a very late night last night and I think that I will have a short nap to boost my energy during my lunch hour .,I had a very late night last night and I think that I will have a catnap during my lunch hour .,short nap to boost | energy,catnap,"[(16, 20), (21, 22)]","[(16, 17)]",2
